"Date","Mkt_RF","SMB","HML","RMW","CMA","RF","Mkt_RF_3mo","Mkt_RF_12mo","Mkt_RF_36mo","SMB_3mo","SMB_12mo","SMB_36mo","HML_3mo","HML_12mo","HML_36mo","RMW_3mo","RMW_12mo","RMW_36mo","CMA_3mo","CMA_12mo","CMA_36mo"
1963-07-01,-0.39,-0.48,-0.81,0.64,-1.15,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963-08-01,5.08,-0.8,1.7,0.4,-0.38,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963-09-01,-1.57,-0.43,0,-0.78,0.15,0.27,1.04,NA,NA,-0.57,NA,NA,0.296666666666667,NA,NA,0.0866666666666667,NA,NA,-0.46,NA,NA
1963-10-01,2.54,-1.34,-0.04,2.79,-2.25,0.29,2.01666666666667,NA,NA,-0.856666666666667,NA,NA,0.553333333333333,NA,NA,0.803333333333333,NA,NA,-0.826666666666667,NA,NA
1963-11-01,-0.86,-0.85,1.73,-0.43,2.27,0.27,0.0366666666666668,NA,NA,-0.873333333333333,NA,NA,0.563333333333333,NA,NA,0.526666666666667,NA,NA,0.0566666666666666,NA,NA
1963-12-01,1.83,-1.89,-0.21,0.12,-0.25,0.29,1.17,NA,NA,-1.36,NA,NA,0.493333333333333,NA,NA,0.826666666666667,NA,NA,-0.0766666666666667,NA,NA
1964-01-01,2.27,0.1,1.63,0.21,1.48,0.3,1.08,NA,NA,-0.88,NA,NA,1.05,NA,NA,-0.0333333333333334,NA,NA,1.16666666666667,NA,NA
1964-02-01,1.55,0.33,2.81,0.11,0.81,0.26,1.88333333333333,NA,NA,-0.486666666666667,NA,NA,1.41,NA,NA,0.146666666666667,NA,NA,0.68,NA,NA
1964-03-01,1.41,1.41,3.29,-2.03,2.98,0.31,1.74333333333333,NA,NA,0.613333333333333,NA,NA,2.57666666666667,NA,NA,-0.57,NA,NA,1.75666666666667,NA,NA
1964-04-01,0.11,-1.48,-0.54,-1.32,-1.13,0.29,1.02333333333333,NA,NA,0.0866666666666667,NA,NA,1.85333333333333,NA,NA,-1.08,NA,NA,0.886666666666667,NA,NA
1964-05-01,1.41,-0.62,1.81,-0.15,0.13,0.26,0.976666666666667,NA,NA,-0.23,NA,NA,1.52,NA,NA,-1.16666666666667,NA,NA,0.66,NA,NA
1964-06-01,1.27,0.13,0.68,-0.33,0.1,0.3,0.93,1.22083333333333,NA,-0.656666666666667,-0.493333333333333,NA,0.65,1.00416666666667,NA,-0.6,-0.0641666666666667,NA,-0.3,0.23,NA
