School,SalaryType,Rank,Salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,Real,Full,"155,832.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,Real,Associate,"110,986.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,Real,Assistant,"93,328.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,COLA-Adjusted,Full,"142,275.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,COLA-Adjusted,Associate,"101,330.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,COLA-Adjusted,Assistant,"85,859.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,Real,Full,"134,487.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,Real,Associate,"105,216.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,Real,Assistant,"85,861.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,COLA-Adjusted,Full,"153,180.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,COLA-Adjusted,Associate,"119,842.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,COLA-Adjusted,Assistant,"85,861.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin,Real,Full,"146,856.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin,Real,Associate,"113,680.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin,Real,Assistant,"91,352.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin,COLA-Adjusted,Full,"137,458.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin,COLA-Adjusted,Associate,"106,404.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin,COLA-Adjusted,Assistant,"85,505.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton,Real,Full,"141,305.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton,Real,Associate,"107,210.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton,Real,Assistant,"88,513.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton,COLA-Adjusted,Full,"137,914.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton,COLA-Adjusted,Associate,"104,637.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton,COLA-Adjusted,Assistant,"86,389.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont McKenna,Real,Full,"176,097.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont McKenna,Real,Associate,"128,041.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont McKenna,Real,Assistant,"108,669.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont McKenna,COLA-Adjusted,Full,"60,401.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont McKenna,COLA-Adjusted,Associate,"43,918.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont McKenna,COLA-Adjusted,Assistant,"37,273.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby,Real,Full,"145,970.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby,Real,Associate,"105,841.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby,Real,Assistant,"88,083.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby,COLA-Adjusted,Full,"177,062.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby,COLA-Adjusted,Associate,"128,385.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby,COLA-Adjusted,Assistant,"106,845.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,Real,Full,"151,653.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,Real,Associate,"108,479.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,Real,Assistant,"92,464.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,COLA-Adjusted,Full,"175,008.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,COLA-Adjusted,Associate,"125,185.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,COLA-Adjusted,Assistant,"106,703.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
