WRBY_FF5-2
Date,WRBY_Ret,Mkt_RF,SMB,HML,RMW,CMA,RF,WRBY_Excess
2021-10,-0.8992,6.91,0.33,4.83,0.59,0.62,0.01,-0.9092
2021-11,-6.0185,-2.0,-3.75,-0.88,1.41,-0.04,0.01,-6.0285
2021-12,-8.2562,3.64,-0.73,2.05,1.32,0.41,0.01,-8.2662
2022-01,-20.1675,-5.89,-1.98,8.78,2.48,1.57,0.02,-20.1875
2022-02,-19.4781,-2.77,-0.49,1.51,1.36,0.09,0.02,-19.4981
2022-03,12.9636,3.57,0.82,3.42,0.36,-0.07,0.03,12.9336
2022-04,-31.1151,-8.72,-0.68,0.31,3.17,0.84,0.05,-31.1651
2022-05,-27.0932,-0.13,-0.18,2.2,3.51,1.24,0.06,-27.1532
2022-06,-33.6867,-8.39,-1.33,0.59,2.7,0.82,0.09,-33.7767
2022-07,10.0355,9.39,0.75,-2.73,0.74,-0.78,0.17,9.8655
2022-08,1.4528,-3.86,-2.34,-1.7,1.82,-0.35,0.19,1.2628
2022-09,6.1257,-9.21,-1.91,0.81,1.97,0.3,0.19,5.9357
2022-10,20.3148,7.99,3.29,7.27,1.18,1.82,0.23,20.0848
2022-11,6.1059,5.0,2.13,-0.62,-0.1,0.34,0.29,5.8159
2022-12,-20.7868,-5.9,-1.41,-1.75,1.17,-0.61,0.33,-21.1168
2023-01,19.7183,6.64,3.46,4.43,0.77,0.59,0.35,19.3683
2023-02,-19.4427,-2.38,-1.02,-1.73,0.6,-0.67,0.36,-19.8027
2023-03,-18.6011,3.37,1.22,-3.07,2.33,-0.4,0.4,-19.0011
2023-04,-0.5666,0.89,-0.75,0.99,1.89,0.47,0.4,-0.9666
2023-05,4.5584,-0.07,-2.31,0.93,0.98,-0.74,0.41,4.1484
2023-06,6.1762,6.35,1.52,-1.19,0.22,-0.29,0.43,5.7462
2023-07,27.8015,3.17,0.59,-3.13,0.22,-0.71,0.45,27.3515
2023-08,-19.6118,-2.27,-3.25,0.4,0.97,-0.04,0.44,-20.0518
2023-09,9.5754,-4.87,-2.9,1.06,1.73,0.8,0.44,9.1354
2023-10,-1.3678,-2.98,-4.23,0.64,1.75,0.44,0.45,-1.8178
2023-11,-19.7997,9.17,4.46,-1.91,1.19,-0.38,0.45,-20.2497
2023-12,35.4467,4.84,2.3,1.71,0.88,0.21,0.45,34.9967
2024-01,-9.5745,1.22,-2.27,0.1,1.42,0.19,0.45,-10.0245
2024-02,-0.3137,5.34,1.27,0.95,0.82,0.13,0.44,-0.7537
2024-03,7.081,3.22,-0.07,1.66,0.71,0.12,0.44,6.641
2024-04,-13.7399,-4.16,-2.71,-3.06,1.45,-0.63,0.43,-14.1699
2024-05,50.8518,4.96,0.34,0.93,1.43,0.32,0.44,50.4118
2024-06,-9.3168,3.47,-0.55,-0.91,1.04,-0.35,0.44,-9.7568
2024-07,2.5529,1.13,2.82,-4.06,0.38,-0.64,0.44,2.1129
2024-08,-9.4111,2.28,1.44,-2.82,0.96,-0.76,0.44,-9.8511
2024-09,9.4504,2.14,1.17,0.62,0.68,0.04,0.44,9.0104
2024-10,3.6742,-0.84,-1.46,0.66,1.18,0.34,0.4,3.2742
2024-11,33.1364,5.87,-1.01,2.34,1.11,0.64,0.38,32.7564
2024-12,7.4091,-2.38,-1.9,-2.44,-0.11,-0.8,0.36,7.0491
2025-01,14.4568,2.7,-1.2,0.8,0.9,0.3,0.36,14.0968
2025-02,-10.7542,-1.42,-0.8,1.2,0.7,0.4,0.35,-11.1042
2025-03,-26.2839,-5.63,-1.5,2.1,1.2,0.8,0.34,-26.6239
2025-04,-9.435,-0.76,-0.6,1.5,0.8,0.5,0.36,-9.795
